,comment,reference,is_related
0,"лучше бы взял картинку, где больше, чем льва.","голодных игр тред! суть - постишь картинку персонажа и его имя латиницей. дальше смотришь, как хост прогоняет перса через рандомайзер, где они убивают друг друга или просто аутируют, и болеешь за своих!",1
1,братишка сразу же начинает активно сокращать численность деку на арене.,"голодных игр тред! суть - постишь картинку персонажа и его имя латиницей. дальше смотришь, как хост прогоняет перса через рандомайзер, где они убивают друг друга или просто аутируют, и болеешь за своих!",1
2,"так. чей деку умрет последним, тот и настоящий.","голодных игр тред! суть - постишь картинку персонажа и его имя латиницей. дальше смотришь, как хост прогоняет перса через рандомайзер, где они убивают друг друга или просто аутируют, и болеешь за своих!",1
3,"васян бахнул дымовуху и разрубил на куски гаи, сильного, безложечного и кота. баттлфилд полетел за полковником в песок. бог наказал писателя и володьку.","голодных игр тред! суть - постишь картинку персонажа и его имя латиницей. дальше смотришь, как хост прогоняет перса через рандомайзер, где они убивают друг друга или просто аутируют, и болеешь за своих!",1
4,братишка. я тебе покушать принс.,"голодных игр тред! суть - постишь картинку персонажа и его имя латиницей. дальше смотришь, как хост прогоняет перса через рандомайзер, где они убивают друг друга или просто аутируют, и болеешь за своих!",0
5,"последний деку напоролся на меч буйного васяна. учителя истории ищут, чтобы пояснил за мидуэй.","голодных игр тред! суть - постишь картинку персонажа и его имя латиницей. дальше смотришь, как хост прогоняет перса через рандомайзер, где они убивают друг друга или просто аутируют, и болеешь за своих!",1
6,путин остановил неугомонного васяна. пахом принес историку покушать свинца.,"голодных игр тред! суть - постишь картинку персонажа и его имя латиницей. дальше смотришь, как хост прогоняет перса через рандомайзер, где они убивают друг друга или просто аутируют, и болеешь за своих!",1
7,братишка. я тебе истребителей принс.,"голодных игр тред! суть - постишь картинку персонажа и его имя латиницей. дальше смотришь, как хост прогоняет перса через рандомайзер, где они убивают друг друга или просто аутируют, и болеешь за своих!",0
8,пахом открывает серию и избивает местный евангелион. анон поджег свет в твоем доме.,"голодных игр тред! суть - постишь картинку персонажа и его имя латиницей. дальше смотришь, как хост прогоняет перса через рандомайзер, где они убивают друг друга или просто аутируют, и болеешь за своих!",1
9,"бог наказал летова копьем. критик прирезал римлянина, ледоруба и путина на пиру.","голодных игр тред! суть - постишь картинку персонажа и его имя латиницей. дальше смотришь, как хост прогоняет перса через рандомайзер, где они убивают друг друга или просто аутируют, и болеешь за своих!",1
10,и братишка остался без лагеря за дерзость.,"голодных игр тред! суть - постишь картинку персонажа и его имя латиницей. дальше смотришь, как хост прогоняет перса через рандомайзер, где они убивают друг друга или просто аутируют, и болеешь за своих!",1
11,ааааааа. ааааааааааа. сукаааааа.,"голодных игр тред! суть - постишь картинку персонажа и его имя латиницей. дальше смотришь, как хост прогоняет перса через рандомайзер, где они убивают друг друга или просто аутируют, и болеешь за своих!",0
12,"анон, ты там аккуратней, а то и вправду наказать может.","голодных игр тред! суть - постишь картинку персонажа и его имя латиницей. дальше смотришь, как хост прогоняет перса через рандомайзер, где они убивают друг друга или просто аутируют, и болеешь за своих!",1
13,муги сразу дает навальному по голове.,"голодных игр тред! суть - постишь картинку персонажа и его имя латиницей. дальше смотришь, как хост прогоняет перса через рандомайзер, где они убивают друг друга или просто аутируют, и болеешь за своих!",1
14,это двач. тут вс не любят. даже сам двач. привыкай.,"двач, ну скажи, почему тут так не любят луркмор, ведь чуть менее чем все из over мемов мы берем от туда. алсо ньюфагам легче понимать нас, олдфагов.",1
15,и что же заставило тебя так думать.,"двач, ну скажи, почему тут так не любят луркмор, ведь чуть менее чем все из over мемов мы берем от туда. алсо ньюфагам легче понимать нас, олдфагов.",0
16,если я пойду служить срочку и у меня закончиться паспорт могу ли я обратно полететь на самолете по военному билету.,призываю в тред мамкиных юристов и просто четких поцанчиков которые специализируются на решении вопросов. суть в чем. маманя сдала хату какому то пиздюку двадцати лет отроду.,1
17,"ну хуй знает, я бы ему просто ебасос начистил, но я так с дивана.",призываю в тред мамкиных юристов и просто четких поцанчиков которые специализируются на решении вопросов. суть в чем. маманя сдала хату какому то пиздюку двадцати лет отроду.,1
18,мне нужен ответ юрист куна который может зайти в тред.,призываю в тред мамкиных юристов и просто четких поцанчиков которые специализируются на решении вопросов. суть в чем. маманя сдала хату какому то пиздюку двадцати лет отроду.,1
19,"ну тогда добра пожаловать к нашему шалашу, бродяга.",призываю в тред мамкиных юристов и просто четких поцанчиков которые специализируются на решении вопросов. суть в чем. маманя сдала хату какому то пиздюку двадцати лет отроду.,0
20,"фулл стек разраб, js, живу в мухосранемиллионнике, работаю на контору в дс, сто тыщ в месяц серыми.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
21,"работаю в майле, платят не хило. работы правда дофига отдыхать особо не получается","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
22,сайтики пилишь. много времени уходит.,"в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
23,какой опыт работы. кем начинал.,"в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
24,"ахах, сайтики со времен универа не пилил. вебсервисы, епта. часовой рабочий день, что делать есть всегда","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
25,"быдло, съеби с моих двачей","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",0
26,"года, был в техподдержке провайдера","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
27,"с моих двачей, а где сейчас серваки двача. мм. даун","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",0
28,какой универ заканчивал. что самое сложное по таскам было.,"в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
29,занимаюсь ничем. платят сто тыщ в месяц,"в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
30,"никакой, забил на втором курсе. ничего особо сложного нет. все примерно одинаковое данные, а получить таким-то образом, обработать так-то, сюда сохранить и тут вот так показать.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
31,переустанавливаю виндовсы в собесе и слежу чтобы сеть работала. платят тыщу долларов в месяц. мухосранск.,"в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
32,"я думал там чуть больше платят чем тыщу, лучше уж сайтики пилить. интересно, сколько платят у лебедева.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
33,ботайтишник работает на меня за электричество,"в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",0
34,"сотни две в моей мухосрани было. может не средняя для города, но и не мизер. ну я на второй линии работал, если ты секретарша на телефоне, наверное много платить не будут","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
35,от конторы зависит. средняя по питеру в этом стеке около двухста.,"в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
36,"грузчиком в супермаркете охранником в ночном клубе оператором у интернет провайдера, всё это было в миллионнике.","в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
37,если ты секретарша триста тыщ в наносекунду.,"в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
38,смотря кому и какие сайтики пилить. сайтоделов за гроши работают.,"в тред призываются программисты, дезигнеры, it из дс. чем занимаетесь и что платят?",1
